elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
751,write,648.9,8512.0,2026-09-06T03:44:10Z,upgrade
768,read,363.5,1400.0,2026-09-06T03:44:27Z,upgrade
768,write,874.6,12864.0,2026-09-06T03:44:27Z,upgrade
784,read,903.8,1352.0,2026-09-06T03:44:43Z,upgrade
784,write,674.3,940.0,2026-09-06T03:44:43Z,upgrade
801,read,590.4,1256.0,2026-09-06T03:45:00Z,upgrade
801,write,898.3,916.0,2026-09-06T03:45:00Z,upgrade
818,read,347.9,1080.0,2026-09-06T03:45:17Z,upgrade
818,write,469.0,652.0,2026-09-06T03:45:17Z,upgrade
835,read,288.3,852.0,2026-09-06T03:45:34Z,upgrade
835,write,452.2,668.0,2026-09-06T03:45:34Z,upgrade
851,read,251.4,804.0,2026-09-06T03:45:50Z,upgrade
851,write,398.8,668.0,2026-09-06T03:45:50Z,upgrade
868,read,231.3,764.0,2026-09-06T03:46:07Z,upgrade
868,write,491.7,2608.0,2026-09-06T03:46:07Z,upgrade
885,read,214.8,732.0,2026-09-06T03:46:24Z,upgrade
885,write,571.8,9280.0,2026-09-06T03:46:24Z,upgrade
901,read,204.5,692.0,2026-09-06T03:46:40Z,upgrade
901,write,408.8,398.0,2026-09-06T03:46:40Z,upgrade
918,read,195.2,708.0,2026-09-06T03:46:57Z,upgrade
918,write,541.3,5984.0,2026-09-06T03:46:57Z,upgrade
935,read,190.0,668.0,2026-09-06T03:47:14Z,upgrade
935,write,541.8,6944.0,2026-09-06T03:47:14Z,upgrade
952,read,186.5,660.0,2026-09-06T03:47:31Z,upgrade
952,write,440.0,446.0,2026-09-06T03:47:31Z,upgrade
968,read,185.0,314.0,2026-09-06T03:47:47Z,upgrade
968,write,482.4,3408.0,2026-09-06T03:47:47Z,upgrade
985,read,183.4,350.0,2026-09-06T03:48:04Z,upgrade
985,write,528.6,5216.0,2026-09-06T03:48:04Z,upgrade
1002,read,182.3,306.0,2026-09-06T03:48:21Z,upgrade
