+19s Life=UPDATING Cap=1200 Act=[FILE_SYSTEM_UPDATE:PENDING:None% | STORAGE_OPTIMIZATION:PENDING:None%]
+1446s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:23%]
+1483s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:23%]
+1519s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1556s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1592s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1629s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1666s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1702s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1739s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:32%]
+1775s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:54%]
+1812s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:56%]
+1849s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:56%]
+1885s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:58%]
+1922s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:60%]
+1958s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:63%]
+1995s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:63%]
+2032s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2068s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2105s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2141s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2178s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2215s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:69%]
+2251s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:73%]
+2288s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:73%]
+2324s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:73%]
+2361s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:78%]
+2397s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:78%]
+2434s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:78%]
+2471s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:78%]
+2507s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:78%]
+2544s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2580s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2617s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2653s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2690s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2727s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:UPDATED_OPTIMIZING:None% | STORAGE_OPTIMIZATION:IN_PROGRESS:99%]
+2763s Life=AVAILABLE Cap=2400 Act=[FILE_SYSTEM_UPDATE:COMPLETED:None%]
=== STORAGE_OPTIMIZATION finished (or gone) at +2763s ===
