elapsed_sec,op,lat_mean_us,lat_p99_us,timestamp_utc,phase
604,read,184.2,326.0,2026-09-06T05:31:44Z,upgrade
604,write,1038.2,6880.0,2026-09-06T05:31:44Z,upgrade
621,read,183.9,338.0,2026-09-06T05:32:01Z,upgrade
621,write,677.1,15680.0,2026-09-06T05:32:01Z,upgrade
638,read,183.2,298.0,2026-09-06T05:32:18Z,upgrade
638,write,607.3,11584.0,2026-09-06T05:32:18Z,upgrade
654,read,181.8,306.0,2026-09-06T05:32:34Z,upgrade
654,write,659.3,14784.0,2026-09-06T05:32:34Z,upgrade
671,read,181.4,282.0,2026-09-06T05:32:51Z,upgrade
671,write,679.8,15680.0,2026-09-06T05:32:51Z,upgrade
688,read,184.1,326.0,2026-09-06T05:33:08Z,upgrade
688,write,657.0,14528.0,2026-09-06T05:33:08Z,upgrade
705,read,184.1,322.0,2026-09-06T05:33:25Z,upgrade
705,write,740.2,20096.0,2026-09-06T05:33:25Z,upgrade
721,read,180.6,290.0,2026-09-06T05:33:41Z,upgrade
721,write,600.3,12608.0,2026-09-06T05:33:41Z,upgrade
738,read,179.4,346.0,2026-09-06T05:33:58Z,upgrade
738,write,625.1,12736.0,2026-09-06T05:33:58Z,upgrade
755,read,179.1,270.0,2026-09-06T05:34:15Z,upgrade
755,write,719.7,18304.0,2026-09-06T05:34:15Z,upgrade
771,read,179.6,274.0,2026-09-06T05:34:31Z,upgrade
771,write,662.0,15936.0,2026-09-06T05:34:31Z,upgrade
788,read,266.7,1272.0,2026-09-06T05:34:48Z,upgrade
788,write,850.6,10048.0,2026-09-06T05:34:48Z,upgrade
805,read,808.3,1192.0,2026-09-06T05:35:05Z,upgrade
805,write,730.7,6880.0,2026-09-06T05:35:05Z,upgrade
822,read,599.1,1096.0,2026-09-06T05:35:22Z,upgrade
822,write,730.6,6432.0,2026-09-06T05:35:22Z,upgrade
838,read,639.3,916.0,2026-09-06T05:35:38Z,upgrade
838,write,527.7,2384.0,2026-09-06T05:35:38Z,upgrade
858,read,348.0,924.0,2026-09-06T05:35:58Z,upgrade
858,write,476.1,748.0,2026-09-06T05:35:58Z,upgrade
874,read,296.6,756.0,2026-09-06T05:36:14Z,upgrade
874,write,552.0,3920.0,2026-09-06T05:36:14Z,upgrade
891,read,256.1,692.0,2026-09-06T05:36:31Z,upgrade
891,write,625.1,9152.0,2026-09-06T05:36:31Z,upgrade
908,read,246.4,692.0,2026-09-06T05:36:48Z,upgrade
908,write,539.2,948.0,2026-09-06T05:36:48Z,upgrade
924,read,240.6,652.0,2026-09-06T05:37:04Z,upgrade
924,write,577.6,1944.0,2026-09-06T05:37:04Z,upgrade
941,read,236.2,636.0,2026-09-06T05:37:21Z,upgrade
941,write,609.7,8768.0,2026-09-06T05:37:21Z,upgrade
958,read,232.6,628.0,2026-09-06T05:37:38Z,upgrade
958,write,662.6,14144.0,2026-09-06T05:37:38Z,upgrade
975,read,230.5,470.0,2026-09-06T05:37:55Z,upgrade
975,write,507.8,604.0,2026-09-06T05:37:55Z,upgrade
